text,translation
This is a copper whip.  ,这是一把铜鞭。
This is a copper battle axe.  ,这是一把铜战斧。
This is a copper war hammer.  ,这是一把铜战锤。
This is a copper short sword.  ,这是一把铜短剑。
This is a copper spear.  ,这是一把铜矛。
This is a copper mace.  ,这是一把铜钉头锤。
This is a copper crossbow.  ,这是一把铜弩。
This is a copper pick.  ,这是一把铜镐。
This is a copper bow.  ,这是一把铜弓。
This is a copper blowgun.  ,这是一把铜吹箭筒。
This is a copper pike.  ,这是一把铜长枪。
This is a copper halberd.  ,这是一把铜戟。
This is a copper two-handed sword.  ,这是一把铜双手剑。
This is a copper long sword.  ,这是一把铜长剑。
This is a copper maul.  ,这是一把铜巨锤。
This is a bronze war hammer.  ,这是一把青铜战锤。
This is a bronze short sword.  ,这是一把青铜短剑。
This is a bronze spear.  ,这是一把青铜长矛。
This is a bronze mace.  ,这是一把青铜钉头锤。
This is a bronze crossbow.  ,这是一把青铜弩。
This is a bronze pick.  ,这是一把青铜镐。
This is a bronze bow.  ,这是一把青铜弓。
This is a bronze blowgun.  ,这是一把青铜吹箭筒。
This is a bronze pike.  ,这是一把青铜长枪。
This is a bronze halberd.  ,这是一把青铜戟。
This is a bronze two-handed sword.  ,这是一把青铜双手剑。
This is a bronze long sword.  ,这是一把青铜长剑。
This is a bronze maul.  ,这是一把青铜巨锤。
This is a bronze great axe.  ,这是一把青铜巨斧。
This is a bronze dagger.  ,这是一把青铜匕首。
This is a bismuth bronze morningstar.  ,这是一把铋青铜晨星锤。
This is a bismuth bronze scimitar.  ,这是一把铋青铜弯刀。
This is a bismuth bronze training axe.  ,这是一把铋青铜训练斧。
This is a bismuth bronze training sword.  ,这是一把铋青铜训练剑。
This is a bismuth bronze training spear.  ,这是一把铋青铜训练矛。
This is a bismuth bronze great pick.  ,这是一把铋青铜巨型镐。
This is a bismuth bronze bolt.  ,这是一支铋青铜弩箭。
This is a bismuth bronze arrow.  ,这是一支铋青铜箭矢。
This is a bismuth bronze blowdart.  ,这是一支铋青铜吹箭。
This is a nickel silver whip.  ,这是一条镍银鞭。
This is a nickel silver battle axe.  ,这是一把镍银战斧。
This is a nickel silver war hammer.  ,这是一把镍银战锤。
This is a nickel silver short sword.  ,这是一把镍银短剑。
This is a nickel silver spear.  ,这是一把镍银长矛。
This is a nickel silver mace.  ,这是一把镍银钉头锤。
This is a bronze scourge.  ,这是一把青铜鞭笞。
This is a bronze flail.  ,这是一把青铜连枷。
This is a bronze morningstar.  ,这是一把青铜流星锤。
This is a bronze scimitar.  ,这是一把青铜弯刀。
This is a bronze training axe.  ,这是一把青铜训练斧。
This is a bronze training sword.  ,这是一把青铜训练剑。
This is a bronze training spear.  ,这是一把青铜训练矛。
This is a bronze great pick.  ,这是一把青铜巨镐。
This is a bronze bolt.  ,这是一支青铜弩箭。
This is a bronze arrow.  ,这是一支青铜箭。
This is a bronze blowdart.  ,这是一支青铜吹箭。
This is a bismuth bronze whip.  ,这是一把铋青铜鞭。
This is a bismuth bronze battle axe.  ,这是一把铋青铜战斧。
This is a bismuth bronze war hammer.  ,这是一把铋青铜战锤。
This is a bismuth bronze short sword.  ,这是一把铋青铜短剑。
This is a copper great axe.  ,这是一把铜巨斧。
This is a copper dagger.  ,这是一把铜匕首。
This is a copper scourge.  ,这是一条铜鞭链。
This is a copper flail.  ,这是一柄铜连枷。
This is a copper morningstar.  ,这是一根铜晨星锤。
This is a copper scimitar.  ,这是一把铜弯刀。
This is a copper training axe.  ,这是一把铜训练斧。
