"A ballista fires a ballista arrow in a fixed direction.  The operator can adjust the aim freely within a cone.","弩炮朝固定方向发射弩炮箭。操作者可在锥形范围内自由调整瞄准方向。"
"Abandon the fortress to ruin","放弃要塞任其毁灭"
"Ability to fight with objects not covered by other skills.","使用未被其他技能涵盖的物品进行战斗的能力。"
"A bolt thrower can be freely turned by the","弩箭投射器可由"
"A bolt thrower fires a regular bolts rapidly.  The operator swivels the machine from any available adjacent tiles.","弩箭投射器快速发射普通弩箭。操作者可从任何可用的相邻格子旋转该机械。"
"A catapult fires a boulder in a fixed direction.  The operator can adjust the aim freely within a cone.","投石机朝固定方向发射巨石。操作者可在锥形范围内自由调整瞄准方向。"
"Accept attributes and skills","接受属性和技能"
"Accept the loss and move on.","接受损失并继续前行。"
"Accuse listener of being a night creature","指责听者是夜行生物"
"Accuse the speaker of being a troublemaker","指责说话者是捣乱者"
"Acknowledge lack of acceptance","承认缺乏接纳"
"Acknowledge lack of admiration","承认缺乏钦佩"
"Acknowledge lack of adoration","承认缺乏爱慕"
"Acknowledge lack of affection","承认缺乏喜爱"
"Acknowledge lack of aggravation","承认缺乏恼怒"
"Acknowledge lack of agitation","承认缺乏焦躁"
"Acknowledge lack of alienation","承认缺乏疏离感"
"Acknowledge lack of amazement","承认缺乏惊叹"
"Acknowledge lack of ambivalence","承认缺乏矛盾心理"
"Acknowledge lack of amusement","承认缺乏乐趣"
"Acknowledge lack of anguish","承认缺乏苦恼"
"Acknowledge lack of annoyance","承认缺乏恼火"
"Acknowledge lack of anxiety","承认缺乏焦虑"
"Acknowledge lack of apathy","承认缺乏冷漠"
"Acknowledge lack of arousal","承认缺乏兴奋"
"Acknowledge lack of astonishment","承认缺乏惊讶"
"Acknowledge lack of a thrill","承认缺乏刺激感"
"Acknowledge lack of aversion","承认缺乏反感"
"Acknowledge lack of being shaken","承认缺乏动摇"
"Acknowledge lack of bitterness","承认缺乏苦涩"
"Acknowledge lack of boredom","承认缺乏无聊"
"Acknowledge lack of caring","承认缺乏关心"
"Acknowledge lack of confusion","承认缺乏困惑"
"Acknowledge lack of contempt","承认缺乏蔑视"
"Acknowledge lack of contentment","承认缺乏满足"
"Acknowledge lack of defeat","承认缺乏挫败"
"Acknowledge lack of dejection","承认缺乏消沉"
"Acknowledge lack of delight","承认缺乏喜悦"
"Acknowledge lack of despair","承认缺乏绝望"
"Acknowledge lack of disappointment","承认缺乏失望"
"Acknowledge lack of disgust","承认缺乏厌恶"
"Acknowledge lack of disillusionment","承认缺乏幻灭"
"Acknowledge lack of dislike","承认缺乏讨厌"
"Acknowledge lack of dismay","承认缺乏沮丧"
"Acknowledge lack of displeasure","承认缺乏不悦"
"Acknowledge lack of distress","承认缺乏苦恼"
"Acknowledge lack of eagerness","承认缺乏热切"
"Acknowledge lack of elation","承认缺乏欢欣"
"Acknowledge lack of embarrassment","承认缺乏尴尬"
"Acknowledge lack of empathy","承认缺乏同理心"
"Acknowledge lack of emptiness","承认缺乏空虚"
"Acknowledge lack of enjoyment","承认缺乏乐趣"
"Acknowledge lack of enthusiasm","承认缺乏热情"
"Acknowledge lack of euphoria","承认缺乏欣快"
"Acknowledge lack of exasperation","承认缺乏恼怒"
"Acknowledge lack of excitement","承认缺乏兴奋"
"Acknowledge lack of exhilaration","承认缺乏欢畅"
"Acknowledge lack of existential crisis","承认缺乏存在危机"
"Acknowledge lack of expectancy","承认缺乏期待"
"Acknowledge lack of ferocity","承认缺乏凶暴"
"Acknowledge lack of fondness","承认缺乏喜爱"
"Acknowledge lack of freedom","承认缺乏自由"
"Acknowledge lack of fright","承认缺乏惊恐"
"Acknowledge lack of frustration","承认缺乏挫败"
"Acknowledge lack of gaiety","承认缺乏欢快"
"Acknowledge lack of glumness","承认缺乏忧郁"
"Acknowledge lack of gratitude","承认缺乏感激"
"Acknowledge lack of grim satisfaction","承认缺乏阴沉的满足"
"Acknowledge lack of grouchiness","承认缺乏牢骚不满"
"Acknowledge lack of grumpiness","承认缺乏暴躁"
"Acknowledge lack of happiness","承认缺乏快乐"
"Acknowledge lack of hatred","承认缺乏仇恨"
"Acknowledge lack of hopelessness","承认缺乏绝望"
"Acknowledge lack of horror","承认缺乏恐惧"
"Acknowledge lack of humiliation","承认缺乏屈辱"
"Acknowledge lack of insult","承认没有受到侮辱"
"Acknowledge lack of interest","承认缺乏兴趣"
"Acknowledge lack of irritation","承认没有恼怒"
"Acknowledge lack of isolation","承认没有孤立感"
"Acknowledge lack of jolliness","承认缺乏欢乐"
"Acknowledge lack of joviality","承认缺乏快活"
"Acknowledge lack of jubilation","承认缺乏欢腾"
"Acknowledge lack of loathing","承认没有憎恶"
"Acknowledge lack of loneliness","承认没有孤独感"
"Acknowledge lack of misery","承认没有痛苦"
"Acknowledge lack of mortification","承认没有屈辱感"
"Acknowledge lack of nervousness","承认没有紧张感"
"Acknowledge lack of nostalgia","承认缺乏怀旧"
"Acknowledge lack of optimism","承认缺乏乐观"
"Acknowledge lack of outrage","承认没有愤慨"
"Acknowledge lack of passion","承认缺乏激情"
"Acknowledge lack of patience","承认缺乏耐心"
"Acknowledge lack of pessimism","承认缺乏悲观"
"Acknowledge lack of pleasure","承认没有愉悦"
"Acknowledge lack of rapture","承认没有狂喜"
"Acknowledge lack of regret","承认没有后悔"
"Acknowledge lack of rejection","承认没有被拒绝"
"Acknowledge lack of relief","承认没有释然"
"Acknowledge lack of remorse","承认没有悔恨"
"Acknowledge lack of repentance","承认没有悔意"
"Acknowledge lack of resentment","承认缺乏怨恨"
"Acknowledge lack of restlessness","承认缺乏焦躁"
"Acknowledge lack of righteous indignation","承认缺乏义愤"
"Acknowledge lack of sadness","承认缺乏悲伤"
"Acknowledge lack of satisfaction","承认缺乏满足感"
"Acknowledge lack of self-pity","承认缺乏自怜"
"Acknowledge lack of servility","承认缺乏奴性"
"Acknowledge lack of suspicion","承认缺乏怀疑"
"Acknowledge lack of sympathy","承认缺乏同情"
"Acknowledge lack of tenderness","承认缺乏温情"
"Acknowledge lack of terror","承认缺乏恐惧"
"Acknowledge lack of triumph","承认缺乏胜利感"
"Acknowledge lack of uneasiness","承认缺乏不安"
"Acknowledge lack of unhappiness","承认缺乏不悦"
"Acknowledge lack of vengefulness","承认缺乏复仇心"
"Acknowledge lack of wonder","承认缺乏惊叹"
"A clever strategy will be required.","需要一个巧妙的策略。"
"A coming disaster can be delayed, but not avoided.","即将到来的灾难可以被拖延，但无法避免。"
"A command issued was not supported by this object.  Possibly a plugin without certain callbacks specified.","此对象不支持所发出的命令。可能是某个插件未指定某些回调。"
"A dark, menacing cloud towers above you, crowned by an anvil.","一朵阴森可怖的乌云在你头顶高耸，顶端呈铁砧状。"
"A dark, towering cloud rises into a striped sky.","一朵高耸的黑云升入条纹状的天空。"
"A few dozen or less live there","有几十人或更少的人住在那里"
"Affects ability to block melee and ranged attacks with a shield.","影响用盾牌格挡近战和远程攻击的能力。"
"Affects ability to dodge melee and ranged attacks.","影响闪避近战和远程攻击的能力。"
"Affects ability to move quickly and dodge while armored.","影响穿着护甲时快速移动和闪避的能力。"
"Affects ability to remain hidden while sneaking.","影响潜行时保持隐蔽的能力。"
"Affects ability to remain standing when tired.","影响疲劳时保持站立的能力。"
"Affects ability to spot and interpret tracks and other spoor.","影响发现和解读足迹及其他踪迹的能力。"
"Affects ability to state values, press arguments, and persuasion tactics in interrogation.","影响审讯中陈述价值观、坚持论点和运用说服技巧的能力。"
"Affects ability to withstand pain and stress.","影响承受疼痛和压力的能力。"
"Affects all spoken performances, from poetry recitals to preaching to storytelling to certain musical forms.","影响所有口头表演，从诗歌朗诵到布道、讲故事以及某些音乐形式。"
"Affects argument dismissal and intimidation tactics in interrogation.","影响审讯中驳斥论点和威吓战术的效果。"
"Affects attacks with foot-like appendages.","影响使用足状附肢进行的攻击。"
"Affects attacks with hand-like appendages.","影响使用手状附肢进行的攻击。"
"Affects attacks with mouths and teeth.","影响使用嘴和牙齿进行的攻击。"
"Affects attempts to calm people or to respond passively in arguments.","影响安抚他人的尝试或在争论中作出被动回应的效果。"
"Affects healing rate of damaged tissues.","影响受损组织的愈合速度。"
"Affects maximum number of followers.","影响追随者的最大数量。"
"Affects resistance to poisons and infections.","影响对毒物和感染的抵抗力。"
"Affects response to attempts at flattery in arguments and generally.","影响在争论中及一般情况对奉承企图的反应。"
"Affects response to jokes.","影响对笑话的反应。"
"Affects stamina recover, ability to remain standing when tired, and breath.","影响耐力恢复、疲劳时保持站立的能力以及呼吸。"
"Affects the quality of poetry.","影响诗歌的质量。"
"Affects the quality of writing aside from poetry.","影响诗歌以外写作的质量。"
"Affects wrestling and charging.","影响摔跤和冲锋。"
"After a long journey, you are here to meet your most trusted companion.","经过漫长的旅程，你来到这里与最信赖的伙伴会面。"
"A great sadness is coming.","一场巨大的悲伤即将来临。"
"Agree to cease hostilities","同意停止敌对行动"
"Agree to comply with demand","同意服从要求"
"Agree to drop the argument","同意放弃争论"
"A HTTP error occurred. This is a catch-all for HTTP errors not listed elsewhere.","发生了 HTTP 错误。这是未在其他地方列出的 HTTP 错误的通用提示。"
"A HTTP server error occurred.","发生了 HTTP 服务器错误。"
"Allows insight into emotional states during conversations.","允许洞察对话期间的情绪状态。"
"An end and a new beginning.","终结与新的开始。"
"An error occurred trying to initialize the recording device.","尝试初始化录音设备时发生错误。"
"A new friendship will form.","新的友谊将会形成。"
"An important decision awaits your careful deliberation.","一个重要的决定正等待您的仔细斟酌。"
"An invalid object handle was used.","使用了无效的对象句柄。"
"An invalid parameter was passed to this function.","向此函数传递了无效参数。"
"An invalid seek position was passed to this function.","向此函数传递了无效的定位位置。"
"An invalid speaker was passed to this function based on the current speaker mode.","根据当前说话者模式,向此函数传递了无效的说话者。"
"An invalid string was passed to this function.","向此函数传递了无效字符串。"
"Announce that you are hunting in your lair","宣布你正在自己的巢穴中狩猎"
"Announce your night creature status","宣布你的夜行生物身份"
"An obstacle will present itself.","障碍将会出现。"
"A novice level is required to read anything.","阅读任何内容都需要新手等级。"
"An unspecified error has been returned from a plugin.","插件返回了未指定的错误。"
"Any success will be fleeting.","任何成功都将转瞬即逝。"
"A plugin was built with an unsupported SDK version.","插件使用了不受支持的 SDK 版本构建。"
"Apologize for being otherwise occupied","为因其他事务分身乏术而道歉"
"A requested output, dsp unit type or codec was not available.","所请求的输出、DSP 单元类型或编解码器不可用。"
"Artifact construction begun","神器建造开始"
"A shorter history means certain game elements might not be available.","较短的历史意味着某些游戏元素可能不可用。"
"Ask about other groups with a stake in this site","询问在该地点有利害关系的其他团体"
"Ask about the structure you are in","询问你所在的建筑物"
"Ask about the surrounding area","询问周围地区的情况"
"Ask for a cease to hostilities","请求停止敌对行动"
"Ask for permission to stay for a day","请求获准停留一天"
"Ask how listener is feeling","询问听者的感受"
"Ask if anybody fled from this site","询问是否有人从此处逃走"
"Ask listener to come closer","请听者靠近些"
"Ask listener to come to the market later","请听者稍后到市场来"
"Ask listener to come to the trade depot later","请听者稍后到贸易站来"
"Ask listener to come to your store later","请听者稍后到你的商店来"
"Ask listener to follow you","请听者跟随你"
"Ask listener to guide you to a location","请听者为你带路前往某处"
"Ask listener to join you and be rescued","请听者加入你并接受救援"
"Ask listener to join you as entertainer","请听者以艺人身份加入你"
"Ask listener to join you in an insurrection","请听者加入你的起义"
"Ask listener to join you in a rescue","请听者加入你的救援行动"
"Ask listener to join you on adventures","请听者加入你的冒险"
"Ask listener why they are traveling","询问听者为何在旅行"
"A socket error occurred.  This is a catch-all for socket-related errors not listed elsewhere.","发生了套接字错误。这是对未在其他地方列出的套接字相关错误的兜底提示。"
"Assume control of this party member.","接管这名队员的控制权。"
"A sudden upheaval is in store.","一场剧变即将降临。"
"A towering gray cloud descends from the white sky above you.","一朵高耸的灰云从你头顶的白色天空降下。"
"Attempted to start a river, but one was already playing.","尝试启动河流，但已有一个河流在运行中。"
"Attempted to start the rain layer, but one was already playing.","尝试启动降雨层，但已有一个在运行中。"
"Attempt to stop charging opponents, standing your ground.","尝试停止向对手冲锋，原地坚守。"
"Back to difficulty selection","返回难度选择"
"Be cautious of fatigue today.","今天要小心疲劳。"
"Be diligent and undistracted.","勤勉而不分心。"
"Being dead is cold and clammy.","死亡是冰冷而黏湿的。"
"Be mindful of others around you.","留意你身边的人。"
"Be sure to keep to a high standard today.","今天务必保持高标准。"
"Beware of ill-conceived plans.","谨防考虑不周的计划。"
"Beware those that lack passion.","当心那些缺乏热情的人。"
"Biased index vector computation error","有偏索引向量计算错误"
"Brag about your past violent acts","吹嘘你过去的暴力行为"
"Bring comfort to someone today.","今天给某人带去安慰。"
"Bring up the journey together","一起谈起这段旅程"
"Cannot travel through site","无法穿过该地点"
"Certain shapes and colors might not occur without full randomization.","若不进行完全随机化，某些形状和颜色可能不会出现。"
"Change tab or highlight selection","切换标签页或高亮选中项"
"Change tab or highlight selection, secondary","切换标签页或高亮选中项(次要)"
"Choose a dance form for the choreography.","为编舞选择一种舞蹈形式。"
"Choose a musical form for the composition.","为乐曲选择一种音乐形式。"
"Choose a poetic form for the composition.","为诗作选择一种诗歌形式。"
"Choose default attack according to opponent.","根据对手选择默认攻击方式。"
"Chosen mode is only available in worlds with developed religions.  There are no temples available.  Try an older world.","所选模式仅在拥有发达宗教的世界中可用。没有可用的神庙。请尝试一个更古老的世界。"
"Citizen overwhelmed by stress","市民不堪压力重负"
"Classic varied ground tiles","经典多样地面图块"
"Click a creature to start a new conversation","点击一个生物以开始新的对话"
"Click a mod to open its folder.","点击一个模组以打开其文件夹。"
"Click now to open to this mod folder.","立即点击以打开此模组的文件夹。"
"Cling not to material things.","勿执着于物质之物。"
"Comment on natural surroundings","评论周围的自然环境"
"Complain about the agreement","抱怨该协议"
"Consider the consequences carefully.","仔细考虑后果。"
"Convict a suspect for this crime.","就此罪行判定嫌疑人有罪。"
"Could not locate adventure start square","无法定位冒险起始方格"
"Crash while saving activities","保存活动时崩溃"
"Crash while saving adventure","保存冒险时崩溃"
"Crash while saving agreements","保存协议时崩溃"
"Crash while saving announcements","保存公告时崩溃"
"Crash while saving army controllers","保存军队控制器时崩溃"
"Crash while saving army tracking info","保存军队追踪信息时崩溃"
"Crash while saving artifacts","保存神器时崩溃"
"Crash while saving belief systems","保存信仰体系时崩溃"
"Crash while saving buildings","保存建筑时崩溃"
"Crash while saving cultural identities","保存文化身份时崩溃"
"Crash while saving dance forms","保存舞蹈形式时崩溃"
"Crash while saving divination sets","保存占卜集合时崩溃"
"Crash while saving effects","保存效果时崩溃"
"Crash while saving entities","保存实体时崩溃"
"Crash while saving flow guides","保存流动引导时崩溃"
"Crash while saving formations","保存阵型时崩溃"
"Crash while saving general variables","保存通用变量时崩溃"
"Crash while saving image sets","保存图像集时崩溃"
"Crash while saving incidents","保存事件时崩溃"
"Crash while saving interaction instances","保存互动实例时崩溃"
"Crash while saving machines","保存机器时崩溃"
"Crash while saving mandates","保存强制令时崩溃"
"Crash while saving musical forms","保存音乐形式时崩溃"
"Crash while saving nemeses","保存宿敌时崩溃"
"Crash while saving occupations","保存职业时崩溃"
"Crash while saving plot events","保存剧情事件时崩溃"
"Crash while saving plot info","保存剧情信息时崩溃"
"Crash while saving poetic forms","保存诗歌形式时崩溃"
"Crash while saving projectiles","保存投射物时崩溃"
"Crash while saving random objects","保存随机对象时崩溃"
"Crash while saving rhythms","保存节奏时崩溃"
"Crash while saving schedules","保存日程时崩溃"
"Crash while saving vehicles","保存载具时崩溃"
"Crash while saving work quotas","保存工作配额时崩溃"
"Crash while saving written content","保存书面内容时崩溃"
"Create a sharp rock with two rocks.","用两块石头制作一块尖锐的岩石。"
"Creating a unit for a nemesis","为宿敌创建一个单位"
"Damaging refuse pile clothing.","损坏垃圾堆中的衣物。"
"Default attack is a charging strike.","默认攻击是冲锋打击。"
"Default attack is a strike without charging or wrestling.","默认攻击是不含冲锋或擒拿的打击。"
"Default attack is a wrestling move.","默认攻击是擒拿动作。"
"Demand that the listener yield","要求听者屈服"
"Deride the attempt to calm","嘲弄安抚的企图"
"Designate, Dig Remove Stairs Ramps","标记、挖掘、移除楼梯坡道"
"Difficulty only affects starting skills and equipment.","难度仅影响初始技能和装备。"
"Directly control a single individual or party.","直接控制单个个体或小队。"
"Dismiss minor existential crisis","消除轻微的存在危机感"
"Dismiss minor feeling of agony","消除轻微的极度痛苦感"
"Dismiss minor feeling of alarm","消除轻微的惊慌感"
"Dismiss minor feeling of anguish","消除轻微的苦恼感"
"Dismiss minor feeling of being shaken","消除轻微的心神不宁感"
"Dismiss minor feeling of defeat","消除轻微的挫败感"
"Dismiss minor feeling of despair","消除轻微的绝望感"
"Dismiss minor feeling of dismay","消除轻微的沮丧感"
"Dismiss minor feeling of distress","消除轻微的忧虑感"
"Dismiss minor feeling of fear","消除轻微的恐惧感"
"Dismiss minor feeling of fright","消除轻微的惊吓感"
"Dismiss minor feeling of grief","消除轻微的悲恸感"
"Dismiss minor feeling of horror","消除轻微的惊骇感"
"Dismiss minor feeling of misery","消除轻微的悲惨感"
"Dismiss minor feeling of mortification","消除轻微的羞辱感"
"Dismiss minor feeling of pessimism","消除轻微的悲观感"
"Dismiss minor feeling of rage","消除轻微的狂怒感"
"Dismiss minor feeling of sadness","消除轻微的悲伤感"
"Dismiss minor feeling of shock","消除轻微的震惊感"
"Dismiss minor feeling of terror","消除轻微的惊恐感"
"Dodge away from charging opponents to avoid being knocked over.","闪避冲锋而来的对手,以免被撞倒。"
