text,translation
itself,本身
Select the squads to train here.,选择一支分队在此训练. 
Activity,活动
Training Session,训练课程
Activity Event,活动事件
Research,研究
Play,弹奏
Worship,崇拜
Socialize,社交
 empty , 空的 
 empties , 清空 
 pick up , 拾起 
 picks up , 拾起 
little natural inclination toward music,微弱的乐感
 embraces , 拥抱 
You have ,你有 
 has shared many tales from beyond , 分享了许多来自远方的故事 
 has shared a few rumors., 分享了些许传闻. 
 has shared a rumor from abroad., 分享了一些域外的传闻. 
 gives you , 给你 
 has discovered , 发现了 
profaned our homes,亵渎我们的家园
 has become a student of , 已开始师从 
Ponder ,思索 
Learn ,学习 
Teach ,教导 
Discuss ,讨论 
Read,阅读
Write,写
Write about ,描写有关 
Copy,复制
Meditate on ,冥想 
Pray to ,祈祷于 
Go to Combat Training,进行战斗训练
Organize Combat Training,组织战斗训练
Lead Combat Training,领导战斗训练
Wait for Combat Training,等待战斗训练
Play Make Believe,玩假想游戏
Play with ,玩 
Toy,玩具
Inveigh Against ,反对 
Promote ,促进 
Law,法律
Loyalty,忠诚
Family,家庭
Friendship,友谊
Power,力量
Truth,真理
Cunning,狡猾
Eloquence,口才
Fairness,公平
Decorum,礼仪
Tradition,传统
Artwork,艺术品
Cooperation,合作
Independence,独立
Stoicism,恬淡寡欲
Introspection,内省
Self-Control,自控
Tranquility,宁静
Harmony,和谐
Merriment,欢乐
Craftsmanship,手艺
Martial Prowess,武艺
Skill,技能
Hard Work,勤奋
Sacrifice,牺牲
Competition,竞争
Perseverance,毅力
Leisure Time,闲暇时间
Commerce,商业
Romance,浪漫
Nature,自然
Peace,和平
Knowledge,知识
Preach on ,宣扬 
Listen to Sermon,聆听布道
Tell Story,讲故事
Listen to Story,聆听故事
Listen to Poetry,聆听诗歌
Play ,弹奏 
Simulate ,模拟 
Sing,歌唱
Chant,呼号
Recite Poetry,吟诵诗歌
Perform Music,演奏音乐
Listen to Music,聆听音乐
Perform Dance,表演舞蹈
Watch Dance,观赏舞蹈
Go to ,前去 
 Demonstration, 示范
Lead ,领导 
Organize ,组织 
Watch ,观看 
Wait for ,等待 
Serve Customer,服务顾客
Serve ,服务 
Go to Individual Combat Drill,去进行个人战斗训练
Individual Combat Drill,个人战斗训练
/Resting,/休息
Go to Sparring Match,进行对练比赛
Spar,对练
Go to Sparring Practice,进行对练实践
Watch Sparring Practice,观看对练实践
Archery Practice,箭术练习
You cannot perform here.,你不能在这里表演. 
You could not find a partner.,你找不到伙伴. 
There are not enough dancers.,这里没有足够的舞蹈家. 
There is not enough room to perform here.,这里没有足够的场地来表演. 
Some children,一些孩子
begins,开始
begin,开始
 playing make believe., 正在玩扮演游戏. 
 playing with , 玩着 
a toy,一件玩具
The performers,表演者们
a sermon on ,布道 
the story of ,故事之于 
reciting the poem ,吟诵诗歌 
an improvised recital of ,即兴表演 
the musical composition ,音乐作品 
"improvised music, ","即兴乐曲, "
dancing ,跳舞 
"an improvised dance, ","即兴舞蹈, "
 in the middle of , 在中间之于 
You continue the sermon.,你继续这场布道
The sermon continues.,布道仍在继续
You continue the story.,你继续这个故事. 
The story continues.,故事仍在继续. 
You begin,你开始
The poetry enters,诗歌进入
 line., 线. 
the verse paragraph,这段经文
 verse paragraph, 经文段落
the stanza,这节
 stanza, 诗节
You continue the poem.,你继续这首诗. 
The poem continues.,诗歌继续着. 
You enter ,你进入 
The dance enters a new section with ,舞蹈进入一个新的部分随着 
The music enters ,音乐进入 
a simple passage,一个简单的段落
the introduction,介绍
the exposition,阐述
 of the theme, 主题
 of the first theme, 关于第一个主题
 of the second theme, 关于第二个主题
 of the previous passage, 关于之前的段落
a recapitulation,一份摘要
the synthesis,合成
 of the two themes, 关于这两个主题
 of previous passages, 关于之前的段落
a verse,一篇诗词
a chorus,合唱
the finale,尾声
the coda,结尾
a bridge-passage,一段间奏
first ,第一 
second ,第二 
theme,旋律
a series of variations,一系列的变奏
 on the theme, 在这个旋律
 on the first theme, 在第一旋律
 on the second theme, 在第二个旋律
You continue the dance.,你继续这场舞蹈. 
The dance continues.,舞蹈继续着. 
You continue the music.,你继续这首乐曲. 
The music continues.,音乐继续着. 
You conclude your performance.,你结束了你的表演. 
The performers are finished.,表演者们完事了. 
Some performers finish their act.,一些表演者完成了他们的演出. 
 has finished performing., 已完成表演. 
 concludes a performance., 结束表演. 
You've learned ,你已经学会了 
You feel like you know the basic rules of ,"你觉得你知道基本规则,关于 "
 now., 现在. 
's,的
 lay, 放置
 forth an awe-inspiring sermon for the ages!, 讲述了一场令人惊叹到足以传颂千古的布道!
 artfully deliver, 巧妙地讲演
 a lucid and powerful sermon., 一篇清晰有力的布道. 
 giving a creditable sermon., 讲述了一次令人信服的布道. 
 just can't give a sermon very well., 布道讲述的差强人意. 
 dance, 舞蹈
" flawlessly, like someone out of a legend!"," 完美无缺,传奇人物!"
 dancing exceptionally., 跳很别致的舞. 
 dancing well., 跳得好. 
 get, 得到
 tangled up., 纠结了. 
 and the , 和 
 are indistinguishable!, 难以区分!
instrument,仪器
 delivering a virtuoso performance on the , 表现出众在 
 is absolutely flawless., 绝对完美无缺. 
chant,号子
song,歌
 could nearly pass for the voice of the ," 几乎可以被认为是那种声音,即 "
 play, 玩
 with skill., 有技巧. 
sing,唱
 beautifully., 美丽地. 
 sound, 声音
 vaguely like the intended , 大致上如预期的那样 
 playing the , 玩 
 well., 好. 
chanting,诵经
singing,唱歌
 make, 使
 a mockery of the , 嘲弄 
 with a shameworthy performance., 具有可耻的表现. 
doesn't,不
don't,别
 seem to know how to play the , 似乎知道怎么玩 
 sloppily, 拖泥带水
 and even forget, 甚至忘了
 some of the words., 一些话. 
 bring, 带来
 the poem to life with this flawless recitation., 完美无缺的朗诵使这首诗鲜活无比. 
 choose, 选择
 the perfect phrasing., 完美的措辞. 
 recite, 朗诵
 the words evocatively., 这些言语令人回味. 
 enunciate, 发音
 crisply., 干脆. 
 speak, 说话
 mumble, 咕哝
", having completely forgotten the words.",",完全忘记了这些话. "
 poorly., 糟糕. 
 weave, 编织
 a mesmerizing tale!, 一个令人着迷的故事!
 tell, 告诉
 the story in vivid detail., 这个故事细致生动. 
 telling the tale quite well., 相当好地讲述了这个故事. 
 stumble, 结巴
 over the details., 在细节上. 
It has no writing.,上面没有字. 
The pages are blank.,页面是空白的. 
It has no pages.,它没有页面. 
Wetland,湿地
Alias: ,亦做: 
Highest known in organization,组织中有最高的知名度
Associated Organization: ,相关组织: 
Associated Plot: ,关联地块: 
We should have made it there by now.,我们本应现在就完工. 
We should be making better progress.,我们应该取得更好的进展. 
We are going the wrong way.,我们走错了路. 
We haven't performed for some time.,我们还没有表演多长时间. 
We have arrived at our destination.,我们到达了目的地. 
The oppressor has been overthrown!,压迫者已经被推翻了!
We must not abandon ,我们绝不能放弃 
We must go back.,我们必须回去. 
Empty announcement ,空白公告 
spinning ,纺织 
flying ,飞行 
", but it is deflected by ",",但它被偏转了 "
 by the , 通过 
 in the , 在里面 
 from behind, 从后面
 from the side, 从侧面
", but the attack is deflected by ",",但攻击被偏转了 "
", lightly tapping the target!",",轻轻拍打目标!"
", but there is no force!",",但没有力量!"
", but it passes right through!",",但它正好穿过!"
", but the attack passes right through!",",但攻击正好穿过!"
", but it glances away!",",但它打偏了!"
", but the attack glances away!",",但攻击打偏了!"
 and the severed part sails off in an arc!, 被切断的部分以弧形前进!
the part,那个部分
" is smashed into the body, an unrecognizable mass!"," 被砸到身体里,一团无法辨认的残骸!"
 splits in gore!, 碎成小块!
 collapses!, 崩溃!
the injured part,受伤的部位
 is ripped into loose shreds!, 被撕成碎片!
 is torn apart!, 被撕裂了!
 and it is mostly cut away from the rest of the torso!, 它躯干的其他部分几乎都被切掉!
 is cloven asunder!, 是偶然的!
 explodes into gore!, 炸成一团血雾!
 collapses into a lump of gore!, 瓦解成一滩血块!
 is crushed!, 粉碎了!
The geldables have been torn away!,目标已被断子绝孙!
tearing,撕裂
tearing apart,撕裂
shattering,打碎
chipping,碎裂
fracturing,断裂
denting,下陷
bruising,瘀伤
's ,的 
 apart, 隔开
 tearing apart, 撕裂
 shattering, 打碎
 tearing, 撕裂
 chipping, 碎裂
 fracturing, 断裂
 denting, 下陷
 bruising, 瘀伤
main part,主要部分
 through a hole in the , 通过一个洞 
passing through a hole in the ,穿过一个洞 
jamming the,干扰了
 part, 部分
through the ,通过 
out of the wound,走出伤痛
breaking away,离开了
 most of, 大多数
 half of, 一半
 a piece of, 一块
 the rest of, 其余的
 through the , 通过 
 and spilling , 和溢出 
rancid,馊的
decomposing,分解
rotten,腐烂
fetid,恶臭的
foul,犯规
reeking,发臭气的
filthy,肮脏
stinking,臭
It is a gelding strike!,直捣根部的致命一鸡!
It is a gelding blow!,"击中了下体要害部位,这是一次阉割打击!"
a major artery,一条主动脉
an artery,一条动脉
 has been opened by the attack, 已被攻击割开
many nerves,很多神经
a motor nerve,一条运动神经
a sensory nerve,一条感觉神经
 been severed, 被切断了
a ligament,一条韧带
 has been , 已经 
torn,撕裂
sprained,扭伤
bruised,伤痕累累
a tendon,一条肌腱
strained,紧张
 is ripped to shreds!, 被撕成碎片!
 breaks!, 休息!
 attack is interrupted!, 攻击被打断!
 become enraged!, 变得愤怒!
 has lodged firmly in the wound!, 已经牢牢地卡在了伤口里!
 latch on firmly, 牢牢锁住
 latches on firmly, 牢牢抓住
 latch on firmly!, 牢牢抓住!
 latches on firmly!, 牢牢抓住!
 propelled away by the force of the blow!, 被这一击的力量推开了!
 been knocked unconscious!, 被打昏了!
 been stunned again!, 再次惊呆了!
 been stunned!, 惊呆了!
 having more trouble breathing!, 呼吸十分困难!
 having trouble breathing!, 呼吸困难!
 feel, 感觉
 looks, 容貌
 even more sick!, 十分恶心!
 sick!, 恶心!
 is injected into the , 注入了 
 pours over the , 倾注了 
 flows over the , 流过 
 splatters over the , 溅在上面 
 crumbles over the , 粉碎了 
 is sucked out of the wound!, 从伤口被吸出来!
Date: ,日期: 
st,号
nd,号
rd,号
th,号
hunting.,狩猎. 
sparring.,陪练. 
fighting!,战斗!
Unit report tabs,单位报告选项卡
 (Tame), (驯服)
 item, 物品
Independent,独立
No team/side,无 团队/阵营
Side #,阵营 #
Create,创建
Reset,重置
Conditions,条件
Equipment,装备
Skills,技能
Creature,生物
Tame/mountable,可驯服的/可登上的
 year, 年
"Set the weather, temperature, and time.","设置季节,温度,和时间"
No cumulus clouds,无积雨云
Scattered cumulus,疏疏落落的积雨云
Many cumulus (rain),许多乌云(暴雨)
Cumulonimbus (rain),黑云压城(雷暴雨)
Cirrus,卷云
No stratus,无层云
Altostratus,高层云
Stratus (rain),层云(毛毛雨)
Nimbostratus (rain),雨层云(阴雨绵绵)
No fog,没有雾的
Thin mist,薄雾绵绵的
Fog,有雾的
Thick fog,大雾
Dragonfire,龙火
Magma,岩浆
Fire,火
Scorching,酷热
Hot,炎热
Warm,温暖的
Cool,酷
Cold,寒冷的
Subterranean,地下通道
Freezing,极寒
Below freezing,零下
Deathly cold,刺骨寒冷
Absolute zero,绝对零度
Morning,清晨
Late morning,辰时
Early afternoon,巳时
Late afternoon,未时
Early evening,傍晚
Evening,入夜
Night,晚上
Late night,深夜
Early morning,凌晨
item,物品
"pasture (0,255,0)","牧场(0,255,0)"
 from the dead, 死而复生
 by appealing to a shared worship of , 通过呼吁共同崇拜 
 to sabotage the activities of , 为破坏活动于 
 have returned., 已经回来了. 
 and others have returned., 已经和其他人一起回来了. 
 has returned., 已经回来了. 
 has brought back many tales from beyond , 从外面带回了许多故事 
 has brought back a few rumors., 带回了一些传闻. 
